id,courseid,name,duration,difficulty_level,learning_path
1,COURSE001,Technical Writing,6 weeks,Advanced,Data Science
2,COURSE002,Database Management,2 weeks,Beginner,Cloud Computing
3,COURSE003,ITIL Foundation,5 weeks,Intermediate,Cloud Computing
4,COURSE004,Network Security,5 weeks,Beginner,Data Science
5,COURSE005,Machine Learning Basics,4 weeks,Advanced,Machine Learning
6,COURSE006,Web Development with React,6 weeks,Advanced,Cloud Computing
7,COURSE007,Deep Learning,2 weeks,Intermediate,Data Science
8,COURSE008,Remote Work Skills,4 weeks,Intermediate,Data Science
9,COURSE009,Networking Essentials,1 weeks,Intermediate,Cloud Computing
10,COURSE010,Data Visualization,6 weeks,Advanced,Web Development
11,COURSE011,Python for Data Science,6 weeks,Advanced,Machine Learning
12,COURSE012,Responsive Web Design,3 weeks,Beginner,Machine Learning
13,COURSE013,Scrum Master Certification,6 weeks,Beginner,Machine Learning
14,COURSE014,Full Stack Development,1 weeks,Advanced,Web Development
15,COURSE015,Database Management,3 weeks,Advanced,Cybersecurity
16,COURSE016,Backend Development,6 weeks,Intermediate,Data Science
17,COURSE017,Digital Marketing,5 weeks,Beginner,Machine Learning
18,COURSE018,Blockchain Basics,6 weeks,Advanced,Machine Learning
19,COURSE019,Project Management,1 weeks,Advanced,Cloud Computing
20,COURSE020,UI/UX Design,5 weeks,Advanced,Web Development
21,COURSE021,ITIL Foundation,3 weeks,Intermediate,Cloud Computing
22,COURSE022,Web Design,3 weeks,Advanced,Data Science
23,COURSE023,Machine Learning Basics,4 weeks,Beginner,Cybersecurity
24,COURSE024,Software Engineering,6 weeks,Beginner,Machine Learning
25,COURSE025,Time Management,5 weeks,Advanced,Web Development
26,COURSE026,Digital Marketing,2 weeks,Intermediate,Web Development
27,COURSE027,Deep Learning,6 weeks,Beginner,Web Development
28,COURSE028,API Development,4 weeks,Intermediate,Machine Learning
29,COURSE029,Data Analysis with Python,5 weeks,Advanced,Data Science
30,COURSE030,Cloud Basics,3 weeks,Advanced,Data Science
31,COURSE031,Mobile App Development,5 weeks,Advanced,Cloud Computing
32,COURSE032,ITIL Foundation,4 weeks,Beginner,Data Science
33,COURSE033,DevOps Fundamentals,4 weeks,Intermediate,Machine Learning
34,COURSE034,UI/UX Design,1 weeks,Advanced,Web Development
35,COURSE035,Information Security,4 weeks,Advanced,Cybersecurity
36,COURSE036,Public Speaking,2 weeks,Advanced,Web Development
37,COURSE037,Quality Assurance,4 weeks,Intermediate,Cybersecurity
38,COURSE038,Cloud Basics,2 weeks,Advanced,Machine Learning
39,COURSE039,Public Speaking,6 weeks,Advanced,Data Science
40,COURSE040,Artificial Intelligence,5 weeks,Advanced,Cybersecurity
41,COURSE041,Backend Development,4 weeks,Advanced,Data Science
42,COURSE042,E-commerce Development,6 weeks,Beginner,Cybersecurity
43,COURSE043,Agile Methodologies,3 weeks,Advanced,Cybersecurity
44,COURSE044,Business Analytics,3 weeks,Advanced,Cybersecurity
45,COURSE045,Creative Thinking,5 weeks,Intermediate,Machine Learning
46,COURSE046,Virtualization Technologies,4 weeks,Beginner,Machine Learning
47,COURSE047,Data Structures,1 weeks,Advanced,Web Development
48,COURSE048,Network Security,5 weeks,Advanced,Machine Learning
49,COURSE049,Data Science with R,1 weeks,Advanced,Cybersecurity
50,COURSE050,E-commerce Development,2 weeks,Intermediate,Cloud Computing
